ID,ID COLLEZIONISTA,Nazione,Città,Collezionista,Luogo,# inv.,da,a,Modalità di Acquisizione,Nazione 2,Città 2,Venditore,Nome,Note,Archivio,Segnatura,Documento
BE 001,1.0,Italia,Napoli,Ferdinando I di Borbone,Herculanense Museum (?),Missing Value,ante 1802 (?),1802,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
BE 001,2.0,Francia,Parigi,Charles-Jean-Marie Alquier,Missing Value,Missing Value,1802,1826 (?),Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
BE 001,3.0,Francia,Parigi,Edme-Antoine Durand,Missing Value,Missing Value,1826 (?),ante 1835,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
BE 001,4.0,?,?,?,?,Missing Value,ante 1835,1854,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Nessun dato collezionistico è disponibile per questo lasso di tempo  ,Missing Value,Missing Value,Missing Value
BE 001,5.0,Belgio,Bruxelles,Gustave Hagemans,rue Guimard 10 (?),Missing Value,post 1854,1861,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,"Gustave Hagemans alienò (vendette o donò?) il reperto al Musée royal d'Armures, d'Antiquités et d'Ethnologie il 30 giugno 1861",Missing Value,Missing Value,Missing Value
BE 001,6.0,Belgio,Bruxelles,Missing Value,"Musée royal d'Armures, d'Antiquités et d'Ethnologie",Missing Value,1861,1889,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,"A causa di mancanza di spazio, nel 1889 la collezione di antichità fu trasferita nel neonato Musée du Cinquantenaire (dal 2018 denominato Musée Art & Histoire)   ",Missing Value,Missing Value,Missing Value
CH 001,7.0,Svizzera (?),Ginevra (?),[?] Reisseguerre (o Ressegueire),Missing Value,Missing Value,ante 1825 (?),1825,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Nessuna ulteriore informazione è nota circa tale [?] Reisseguerre (o Ressegueire),Missing Value,Missing Value,Missing Value
CH 001,8.0,Svizzera,Ginevra,Missing Value,Musée académique,Missing Value,1825,1872,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"La donazione di tale [?] Reisseguerre (o Ressegueire) è stata verbalizzata nella 196esima seduta del Musée académique, datata 8 ottobre 1825",Ginevra AVG,"Fonds privés, Musée académique, Maca.A.3","Musée Académique, registre des séances, 1825-1830, p. 18"
CH 001,8.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds privés, Musée académique, Maca.B.1","Registre d'entrée des objets d'antiquités, statistiques, médailles, etc. au Musée Académique, 1820-1850, c. 5r"
CH 001,8.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds publics, Musée d'art et d'histoire, 340.C.7.1.1/1","Procès-Verbaux de la commission du Musée Académique relatifs à l'archéologie, 1818-1865, p. 35"
CH 001,9.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1872,1910,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Nel 1872 la raccolta archeologica del Musée académique andò a costituire il nucleo fondante del Musée archéologique, nuovo istituto autonomo ospitato nell'edificio della biblioteca pubblica presso il Parc des Bastions",Missing Value,Missing Value,Missing Value
CH 002,10.0,Svizzera (?),Ginevra (?),Daniel Delap,Missing Value,Missing Value,ante 1823 (?),1823,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
CH 002,11.0,Svizzera,Ginevra,Missing Value,Musée académique,Missing Value,1823,1872,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"La donazione di Daniel Delap è stata verbalizzata nella 133esima seduta del Musée académique, datata 24 maggio 1823",Ginevra AVG,"Fonds privés, Musée académique, Maca.A.2","Procès-verbaux de la commission du Musée, 1822-1825, p. 81"
CH 002,11.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds privés, Musée académique, Maca.B.1","Registre d'entrée des objets d'antiquités, statistiques, médailles, etc. au Musée Académique, 1820-1850, c. 2r, n. 9"
CH 002,11.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds publics, Musée d'art et d'histoire, 340.C.7.1.1/1","Procès-Verbaux de la commission du Musée Académique relatifs à l'archéologie, 1818-1865, p. 16 "
CH 002,12.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1872,1910,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Nel 1872 la raccolta archeologica del Musée académique andò a costituire il nucleo fondante del Musée archéologique, nuovo istituto autonomo ospitato nell'edificio della biblioteca pubblica presso il Parc des Bastions",Missing Value,Missing Value,Missing Value
CH 003,13.0,?,?,?,?,Missing Value,1818 (?),1887,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
CH 003,14.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1887,1910,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Acquisito dal Musée archéologique nel 1887 con modalità purtroppo ignote ,Missing Value,Missing Value,Missing Value
CH 004,15.0,Svizzera,Ginevra,Moïse-Étienne Moricand (alias Stéfano Moricand),Missing Value,Missing Value,1812 (?),1820-1824,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
CH 004,16.0,Svizzera,Ginevra,Missing Value,Musée académique,Missing Value,1820-1824,1872,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds privés, Musée académique, Maca.B.1","Registre d'entrée des objets d'antiquités, statistiques, médailles, etc. au Musée Académique, 1820-1850, c. 2r, n. 11"
CH 004,17.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1872,1910,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Nel 1872 la raccolta archeologica del Musée académique andò a costituire il nucleo fondante del Musée archéologique, nuovo istituto autonomo ospitato nell'edificio della biblioteca pubblica presso il Parc des Bastions",Missing Value,Missing Value,Missing Value
CH 005,18.0,Svizzera,Ginevra,Jean-Jacques-Henri Linder,Missing Value,Missing Value,ante 1826 (?),1826,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
CH 005,19.0,Svizzera,Ginevra,Missing Value,Musée académique,Missing Value,1826,1872,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds privés, Musée académique, Maca.B.1","Registre d'entrée des objets d'antiquités, statistiques, médailles, etc. au Musée Académique, 1820-1850, c. 5r"
CH 005,20.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1872,1910,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Nel 1872 la raccolta archeologica del Musée académique andò a costituire il nucleo fondante del Musée archéologique, nuovo istituto autonomo ospitato nell'edificio della biblioteca pubblica presso il Parc des Bastions",Missing Value,Missing Value,Missing Value
CH 006,21.0,Svizzera,Ginevra,Jean-Marc Dupan (alias John Du Pan),Missing Value,Missing Value,post 1821 (?),1835,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Jean-Marc Dupan (alias John Du Pan) compì un viaggio in Italia nel biennio 1821-1822,Missing Value,Missing Value,Missing Value
CH 006,22.0,Svizzera,Ginevra,Missing Value,Musée académique,Missing Value,1835,1872,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"La donazione di Jean-Marc Dupan (alias John Du Pan) è stata verbalizzata nella 443esima seduta del Musée académique, datata 4 luglio 1835",Ginevra AVG,"Fonds privés, Musée académique, Maca.A.4","Procès-verbaux de la commission du Musée, 1830-1838, p. 121"
CH 006,22.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds privés, Musée académique, Maca.B.1","Registre d'entrée des objets d'antiquités, statistiques, médailles, etc. au Musée Académique, 1820-1850, c. 5v"
CH 006,22.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Ginevra AVG,"Fonds publics, Musée d'art et d'histoire, 340.C.7.1.1/1","Procès-Verbaux de la commission du Musée Académique relatifs à l'archéologie, 1818-1865, p. 66"
CH 006,23.0,Svizzera,Ginevra,Missing Value,Musée archéologique ,Missing Value,1872,1910,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Nel 1872 la raccolta archeologica del Musée académique andò a costituire il nucleo fondante del Musée archéologique, nuovo istituto autonomo ospitato nell'edificio della biblioteca pubblica presso il Parc des Bastions",Missing Value,Missing Value,Missing Value
DE 001,24.0,Italia,Napoli,Carolina Bonaparte,Palazzo Reale,Missing Value,1813,1826,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,"Portato via da Napoli nel 1815, dal 1817 il reperto fu nello Schloss Frohsdorf (Lanzenkirchen, Austria) ",Missing Value,Missing Value,Missing Value
DE 001,25.0,Germania,Monaco di Baviera,Ludovico I,Residenz München,Missing Value,1826,1868,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,"Contratto di acquisto stipulato nello Schloss Frohsdorf (Lanzenkirchen, Austria) l'8 marzo 1826, firmato dal barone Ernest de Gayle – delegato di Carolina Bonaparte – e Leo von Klenze – delegato di Ludovico I –",Monaco di Baviera BH,"Staatsgemäldesammlungen, vorl. Nr. Archiv Fach XIV XY 6",Missing Value
DE 001,26.0,Germania,Monaco di Baviera,Missing Value,Neue Pinakothek,Missing Value,post 1868,1914-1918,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"In seguito alla morte di Ludovico I nel 1868, il reperto confluì nella Neue Pinakothek, esibito dal 1872 come parte del cosiddetto ""Königliches Antiquarium""    ",Missing Value,Missing Value,Missing Value
DE 001,27.0,Germania,Monaco di Baviera,Missing Value,Alte Pinakothek,512,1914-1918,1970,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Durante la prima guerra mondiale, il reperto pervenne nell'Alte Pinakothek, assorbito nel cosiddetto ""Königliches Museum Antiker Kleinkunst"", il quale venne poi ridenominato ""Museum Antiker Kleinkunst"" nel 1918 ",Missing Value,Missing Value,Missing Value
DE 002,28.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 002,29.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 003,30.0,Italia,Napoli,Carolina Bonaparte,Palazzo Reale,Missing Value,1813,1826,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,"Inviata al Palazzo Reale il 23 dicembre 1813.
Portato via da Napoli nel 1815, dal 1817 il reperto fu nello Schloss Frohsdorf (Lanzenkirchen, Austria) ",Missing Value,Missing Value,Missing Value
DE 003,31.0,Germania,Monaco di Baviera,Ludovico I,Residenz München,Missing Value,1826,1868,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,"Contratto di acquisto stipulato nello Schloss Frohsdorf (Lanzenkirchen, Austria) l'8 marzo 1826, firmato dal barone Ernest de Gayle – delegato di Carolina Bonaparte – e Leo von Klenze – delegato di Ludovico I –  ",Monaco di Baviera BH,"Staatsgemäldesammlungen, vorl. Nr. Archiv Fach XIV XY 6",Missing Value
DE 003,32.0,Germania,Monaco di Baviera,Missing Value,Neue Pinakothek,Missing Value,post 1868,1914-1918,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"In seguito alla morte di Ludovico I nel 1868, il reperto confluì nella Neue Pinakothek, esibito dal 1872 come parte del cosiddetto ""Königliches Antiquarium""    ",Missing Value,Missing Value,Missing Value
DE 003,33.0,Germania,Monaco di Baviera,Missing Value,Alte Pinakothek,Missing Value,1914-1918,1967,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Durante la prima guerra mondiale, il reperto pervenne nell'Alte Pinakothek, assorbito nel cosiddetto ""Königliches Museum Antiker Kleinkunst"", il quale venne poi ridenominato ""Museum Antiker Kleinkunst"" nel 1918 ",Missing Value,Missing Value,Missing Value
DE 004,34.0,Italia,Roma,Jacob Ludwig Salomon Bartholdy,"Palazzo Zuccari - via Gregoriana, 28",Missing Value,1824 (?),1825,Acquisto,Italia,Napoli,Mercante,Giuseppe De Crescenzo; Raffaele Gargiulo; Onofrio Pacileo,"Dopo la morte di Jacob Ludwig Salomon Bartholdy nel 1825, il reperto sarebbe stato acquisito dalla raccolta statale berlinese in occasione della vendita dell'intero «Museo Bartoldiano» – organizzata dalla Legazione di Prussia nel Palazzo Zuccari a Roma –, post 4 giugno 1826, confluendo quindi negli Staatliche Museen zu Berlin - Antikensammlung nel 1830 ",Missing Value,Missing Value,Missing Value
DE 005,35.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825,1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 006,36.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 007,37.0,Italia,Pompei,Francesco I di Borbone,Scavi di Pompei,Missing Value,1828,post 1829,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Napoli ADMANN,inv. ADS 352,Missing Value
DE 007,37.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Los Angeles GRI SC,"Halsted B. Vander Poel Campanian collection, ca. 1570-1997, 2002.M.16 (bx.425)","[William] Gell, [Sketchbook of Pompeii], [1829], cc. 24r, 26v"
DE 007,38.0,Germania,Aquisgrana,Leonhard Gotthard Jakob August Startz,Missing Value,Missing Value,post 1829,1870-1871,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 008,39.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822 (?),1822 (?),Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 008,40.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822 (?),1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferito nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 009,41.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
